,MTBF,MTTR,MDT,Aoss,Average Build Quality in-service,Average Build Quality of System,Print Capacity,Assembling Capacity,Collection Capacity,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,#Replicator,#Normal,#Assembler,#Printer
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,476779.42714950576,0.11248956328390747,7.806,0.9449769955373019,0.781548,0.781548,1.0,1.0,114.0,47.4,198.0,0.0,0.0,0.0,112.0,1.0,1.0
std,3608563.46959465,0.041874200865321336,3.5746216358769156,0.11341911240187014,0.030596732113610824,0.030596732113610824,0.0,0.0,0.0,1.3870283686323006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,1.2683421249741031,0.05426389477990473,1.0,0.42756131024290106,0.722,0.722,1.0,1.0,114.0,45.0,198.0,0.0,0.0,0.0,112.0,1.0,1.0
max,50507937.469706856,0.30198622023192934,17.0,0.9999997822124966,0.839,0.839,1.0,1.0,114.0,51.0,198.0,0.0,0.0,0.0,112.0,1.0,1.0
