,Configuration,#Tasks before failure,RiskThreshold,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss
15,CHO,10,0.5,249.0,229.0,0.0,508.0,0.0,1.0,70.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,71.0,0.0,0.945,0.945,0.0,0.0,0.0,0.0,249.0,249.0,0.0,0.0,0.014084507042253521,1.0,1.0,71.0,1.9364336372296106e+19,0.044444444444444446,22.5,1.0
16,CHO,2,0.5,499.0,211.0,0.0,472.0,0.0,1.0,88.0,0.0,0.0,1.0,0.0,0.0,88.0,0.0,89.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.011235955056179775,1.0,1.0,89.0,1717109.3862508864,0.045454545454545456,21.5,0.999987479114043
17,CHO,3,0.5,499.0,204.0,0.0,458.0,0.0,1.0,49.0,0.0,0.0,1.0,0.0,0.0,49.0,0.0,50.0,0.0,0.867,0.867,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.02,1.0,1.0,50.0,3045811355.242639,0.043478260869565216,21.5,0.9999999929411256
18,CHO,5,0.5,499.0,198.0,2.0,444.0,0.0,1.0,102.0,0.0,0.0,0.0,1.0,0.0,102.0,0.0,103.0,0.0,0.94,0.94,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,1.0,1.0,103.0,49133473111225.42,0.044444444444444446,22.5,0.999999999999542
19,CHO,10,0.5,499.0,191.0,0.0,432.0,0.0,1.0,107.0,0.0,0.0,1.0,0.0,0.0,107.0,0.0,108.0,0.0,0.948,0.948,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.009259259259259259,1.0,1.0,108.0,2.0295672288624325e+19,0.044444444444444446,22.5,1.0
20,CHO,2,0.5,999.0,156.0,2.0,360.0,0.0,1.0,143.0,0.0,0.0,0.0,1.0,0.0,143.0,0.0,144.0,0.0,0.867,0.867,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,144.0,1717109.3862508864,0.045454545454545456,21.5,0.999987479114043
21,CHO,3,0.5,999.0,142.0,1.0,333.0,0.0,1.0,49.0,0.0,0.0,0.0,1.0,0.0,49.0,0.0,50.0,0.0,0.899,0.899,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,3013409106.7826114,0.043478260869565216,21.5,0.9999999928652237
22,CHO,5,0.5,999.0,128.0,1.0,305.0,0.0,1.0,172.0,0.0,0.0,0.0,1.0,0.0,172.0,0.0,173.0,0.0,0.915,0.915,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,173.0,49844974980885.2,0.044444444444444446,22.5,0.9999999999995486
23,CHO,10,0.5,999.0,116.0,2.0,280.0,0.0,1.0,183.0,0.0,0.0,0.0,1.0,0.0,183.0,0.0,184.0,0.0,0.935,0.935,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,1.0,1.0,184.0,2.0295672288624325e+19,0.044444444444444446,22.5,1.0
24,CHO,2,0.6,19.0,293.0,86.0,95.0,455.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,44.22564102564103,0.15384615384615385,6.5,0.8718596775008847
