,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
404,249.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,60.0,0.0,0.0,0.0,111.0,0.0,111.0,33.0,0.679,0.621,0.0,0.0,11.0,22.0,79.0,39.0,83.0,86.0,0.27419730891824806,60.0,51.0,111.0,5905.642642103289,0.20908508900976705,1.25,0.9997883828138182,0
405,249.0,0.0,49.0,1.0,0.0,0.0,0.0,41.0,48.0,0.0,0.0,0.0,89.0,0.0,89.0,39.0,0.646,0.577,0.0,0.0,18.0,21.0,92.0,30.0,99.0,104.0,0.33022584655214826,48.0,41.0,89.0,142872.38905274615,0.13320015162553336,2.5,0.9999825021736389,0
406,249.0,0.0,49.0,1.0,0.0,0.0,0.0,54.0,59.0,0.0,0.0,0.0,113.0,0.0,113.0,25.0,0.672,0.626,0.0,0.0,13.0,12.0,73.0,22.0,79.0,83.0,0.261534811745949,59.0,54.0,113.0,145.36478799423963,0.19142688130928667,1.25,0.9914742570166312,0
407,249.0,0.0,49.0,1.0,0.0,0.0,0.0,52.0,59.0,0.0,0.0,0.0,111.0,0.0,111.0,28.0,0.675,0.624,0.0,0.0,11.0,17.0,87.0,30.0,95.0,98.0,0.31331732378047333,59.0,52.0,111.0,129.20682052144738,0.17649698013687,1.25,0.9904182855675645,0
408,249.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,61.0,0.0,0.0,0.0,112.0,0.0,112.0,30.0,0.667,0.616,0.0,0.0,14.0,16.0,79.0,30.0,89.0,92.0,0.29047098705644175,61.0,51.0,112.0,4584.649183938452,0.24465744192510772,1.75,0.9996184370505453,0
409,249.0,0.0,49.0,1.0,0.0,0.0,0.0,57.0,66.0,0.0,0.0,0.0,123.0,0.0,123.0,12.0,0.748,0.719,0.0,0.0,4.0,8.0,81.0,26.0,83.0,85.0,0.27393211680556,66.0,57.0,123.0,283.298182131051,0.1192106449910934,1.25,0.9956070708635759,0
410,249.0,0.0,49.0,1.0,0.0,0.0,0.0,49.0,46.0,0.0,0.0,0.0,95.0,0.0,95.0,29.0,0.658,0.605,0.0,0.0,13.0,16.0,84.0,34.0,107.0,113.0,0.3375685384422974,46.0,49.0,95.0,289386.87272403616,0.16080095977793246,2.5,0.999991361120222,0
411,249.0,0.0,49.0,1.0,0.0,0.0,0.0,46.0,62.0,0.0,0.0,0.0,108.0,0.0,108.0,28.0,0.668,0.618,0.0,0.0,13.0,15.0,83.0,46.0,84.0,87.0,0.2776293211815523,62.0,46.0,108.0,16716.678184940087,0.14792795416649615,2.0,0.9998803733179217,0
412,249.0,0.0,49.0,1.0,0.0,0.0,0.0,41.0,43.0,0.0,0.0,0.0,84.0,0.0,84.0,30.0,0.681,0.615,0.0,0.0,15.0,15.0,91.0,38.0,91.0,95.0,0.306189450900173,43.0,41.0,84.0,13701710.427876621,0.14112024734627301,3.25,0.9999997628033926,0
413,249.0,0.0,49.0,1.0,0.0,0.0,0.0,67.0,57.0,0.0,0.0,0.0,124.0,0.0,124.0,19.0,0.69,0.659,0.0,0.0,8.0,11.0,71.0,42.0,81.0,83.0,0.25377549501363655,57.0,67.0,124.0,51.982000720711795,0.11976664942716943,1.0,0.9811256655770442,0
414,249.0,0.0,49.0,1.0,0.0,0.0,0.0,52.0,49.0,0.0,0.0,0.0,101.0,0.0,101.0,34.0,0.66,0.602,0.0,0.0,16.0,18.0,88.0,29.0,130.0,134.0,0.3761575759379384,49.0,52.0,101.0,609815.4161462991,0.22192688861431892,2.5,0.999995900415626,0
415,249.0,0.0,49.0,1.0,0.0,0.0,0.0,35.0,31.0,0.0,0.0,0.0,66.0,0.0,66.0,48.0,0.646,0.557,0.0,0.0,19.0,29.0,111.0,26.0,191.0,198.0,0.5078739221178221,31.0,35.0,66.0,4373069.3552982425,0.23247637209234454,2.25,0.999999485487501,0
416,249.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,43.0,0.0,0.0,0.0,94.0,0.0,94.0,40.0,0.665,0.596,0.0,0.0,17.0,23.0,84.0,26.0,103.0,107.0,0.31580942758800734,43.0,51.0,94.0,530538.2636129971,0.23006922114564698,2.25,0.999995759042067,0
417,249.0,0.0,49.0,1.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,96.0,0.0,96.0,33.0,0.663,0.601,0.0,0.0,12.0,21.0,93.0,48.0,100.0,35.0,0.3308150125064509,48.0,48.0,96.0,20755.94927690927,0.1336144692203708,2.0,0.9999036513687687,0
418,249.0,0.0,49.0,1.0,0.0,0.0,0.0,42.0,46.0,0.0,0.0,0.0,88.0,0.0,88.0,37.0,0.678,0.601,0.0,0.0,19.0,18.0,86.0,42.0,89.0,92.0,0.2976608151293539,46.0,42.0,88.0,97019042.08944824,0.17447004362882393,3.0,0.9999999690782362,0
419,249.0,0.0,49.0,1.0,0.0,0.0,0.0,66.0,56.0,0.0,0.0,0.0,122.0,0.0,122.0,19.0,0.706,0.664,0.0,0.0,12.0,7.0,69.0,28.0,78.0,27.0,0.24507334975415307,56.0,66.0,122.0,25659.41333262034,0.18604042703166662,1.75,0.9999318035594367,0
420,249.0,0.0,49.0,1.0,0.0,0.0,0.0,45.0,52.0,0.0,0.0,0.0,97.0,0.0,97.0,26.0,0.681,0.631,0.0,0.0,11.0,15.0,88.0,34.0,91.0,94.0,0.3080076363342175,52.0,45.0,97.0,8100.144744186006,0.15108148308325192,2.25,0.9997223043222357,0
421,249.0,0.0,49.0,1.0,0.0,0.0,0.0,43.0,46.0,0.0,0.0,0.0,89.0,0.0,89.0,45.0,0.664,0.575,0.0,0.0,20.0,25.0,91.0,26.0,117.0,122.0,0.35722445081375764,46.0,43.0,89.0,8945799.963957444,0.20749296435216905,2.25,0.999999748485385,0
422,249.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,36.0,0.0,0.0,0.0,87.0,0.0,87.0,44.0,0.649,0.573,0.0,0.0,17.0,27.0,87.0,36.0,102.0,106.0,0.3189648331001583,36.0,51.0,87.0,27948050.60306213,0.160601915577054,2.75,0.9999999016031648,0
423,249.0,0.0,49.0,1.0,0.0,0.0,0.0,60.0,69.0,0.0,0.0,0.0,129.0,0.0,129.0,15.0,0.692,0.665,0.0,0.0,8.0,7.0,73.0,62.0,74.0,76.0,0.24222953970498132,69.0,60.0,129.0,1177.3191371287965,0.10932919625943122,1.5,0.9987275401690089,0
424,249.0,0.0,49.0,1.0,0.0,0.0,0.0,52.0,50.0,0.0,0.0,0.0,102.0,0.0,102.0,30.0,0.68,0.625,0.0,0.0,11.0,19.0,76.0,37.0,80.0,83.0,0.2569387031223923,50.0,52.0,102.0,28411.71990361681,0.20012699053316915,2.25,0.9999208135995206,0
