,MTBF,MTTR,MDT,Aoss,Average Build Quality in-service,Average Build Quality of System,Print Capacity,Assembling Capacity,Collection Capacity,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,#Replicator,#Normal,#Assembler,#Printer
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,6798332742.036146,0.1632728974025987,2.831339690765016,0.9823176010817497,0.66853,0.6103,51.882,49.054,100.936,84.364,34.188,95.994,87.838,0.0,0.0,49.054,51.882
std,136984947695.94615,0.05991034683229136,1.8438531629105273,0.110352925484413,0.021785920974459867,0.03283403947577261,8.133164989442363,7.702059948800049,14.028167484241548,9.875756433319957,8.43058750095285,19.530510635704914,33.216357548919106,0.0,0.0,7.702059948800049,8.133164989442363
min,0.002911166018898559,0.04150805498672762,0.75,0.00035986910887586467,0.605,0.518,17.0,19.0,37.0,63.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0
max,3057212629133.859,0.6353376338043148,13.963048835609156,0.9999999999969876,0.75,0.719,75.0,73.0,138.0,128.0,89.0,191.0,198.0,0.0,0.0,73.0,75.0
