,MTBF,MTTR,MDT,Aoss,Average Build Quality in-service,Average Build Quality of System,Print Capacity,Assembling Capacity,Collection Capacity,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,#Replicator,#Normal,#Assembler,#Printer
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,1289320.8864606083,0.10789526877272786,8.206,0.9532359669582969,0.7774280000000001,0.7774280000000001,1.0,1.0,75.0,47.47,98.0,0.0,0.0,1.0,74.0,0.0,0.0
std,17529030.157250196,0.040382137246376806,3.513438843214724,0.10210447742886185,0.029943514224088266,0.029943514224088266,0.0,0.0,0.0,1.3537967096510926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,0.4706583248451548,0.048772421931411694,1.0,0.1904991556753007,0.712,0.712,1.0,1.0,75.0,45.0,98.0,0.0,0.0,1.0,74.0,0.0,0.0
max,382353168.1873526,0.35390749783124914,19.0,0.9999999529231071,0.844,0.844,1.0,1.0,75.0,52.0,98.0,0.0,0.0,1.0,74.0,0.0,0.0
