,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,#Tasks before failure
23,23.0,244.0,8.0,46.0,484.0,0.0,0.0,18.0,7.0,5.0,6.0,0.0,6.0,8.0,25.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.4,7.0,18.0,25.0,2
24,24.0,240.0,1.0,54.0,475.0,0.0,0.0,19.0,10.0,3.0,7.0,9.0,6.0,4.0,29.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.5172413793103449,10.0,19.0,29.0,2
25,25.0,240.0,4.0,57.0,469.0,0.0,0.0,19.0,10.0,3.0,4.0,6.0,9.0,7.0,29.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.3103448275862069,10.0,19.0,29.0,2
26,26.0,238.0,1.0,61.0,464.0,0.0,0.0,19.0,11.0,3.0,4.0,5.0,6.0,12.0,30.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.43333333333333335,11.0,19.0,30.0,2
27,27.0,238.0,11.0,54.0,461.0,0.0,0.0,19.0,11.0,3.0,11.0,3.0,5.0,8.0,30.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.43333333333333335,11.0,19.0,30.0,2
28,28.0,234.0,3.0,56.0,459.0,0.0,0.0,20.0,12.0,3.0,10.0,2.0,6.0,11.0,32.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.4375,12.0,20.0,32.0,2
29,29.0,232.0,7.0,54.0,453.0,0.0,0.0,20.0,12.0,4.0,8.0,6.0,2.0,12.0,32.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.53125,12.0,20.0,32.0,2
30,30.0,228.0,0.0,59.0,447.0,0.0,0.0,21.0,12.0,5.0,9.0,6.0,10.0,3.0,33.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.30303030303030304,12.0,21.0,33.0,2
31,31.0,228.0,4.0,64.0,438.0,0.0,0.0,21.0,12.0,5.0,5.0,9.0,6.0,8.0,33.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.45454545454545453,12.0,21.0,33.0,2
32,32.0,226.0,1.0,68.0,433.0,0.0,0.0,22.0,13.0,4.0,5.0,5.0,11.0,10.0,35.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.3142857142857143,13.0,22.0,35.0,2
33,33.0,222.0,4.0,63.0,427.0,0.0,0.0,23.0,13.0,5.0,12.0,6.0,5.0,8.0,36.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.4444444444444444,13.0,23.0,36.0,2
34,34.0,220.0,0.0,69.0,421.0,0.0,0.0,23.0,15.0,4.0,11.0,6.0,8.0,9.0,38.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.39473684210526316,15.0,23.0,38.0,2
35,35.0,220.0,11.0,64.0,415.0,0.0,0.0,23.0,15.0,4.0,11.0,6.0,6.0,11.0,38.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.39473684210526316,15.0,23.0,38.0,2
36,36.0,214.0,0.0,70.0,408.0,0.0,0.0,23.0,16.0,6.0,12.0,7.0,8.0,6.0,39.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.38461538461538464,16.0,23.0,39.0,2
37,37.0,212.0,3.0,68.0,403.0,0.0,0.0,24.0,17.0,5.0,8.0,5.0,11.0,12.0,41.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.34146341463414637,17.0,24.0,41.0,2
38,38.0,210.0,1.0,74.0,395.0,0.0,0.0,24.0,18.0,5.0,9.0,8.0,7.0,13.0,42.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.42857142857142855,18.0,24.0,42.0,2
39,39.0,206.0,6.0,65.0,391.0,0.0,0.0,24.0,18.0,7.0,15.0,4.0,6.0,10.0,42.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.42857142857142855,18.0,24.0,42.0,2
40,40.0,204.0,3.0,73.0,382.0,0.0,0.0,27.0,18.0,5.0,14.0,9.0,7.0,10.0,45.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.4222222222222222,18.0,27.0,45.0,2
41,41.0,202.0,11.0,69.0,374.0,0.0,0.0,27.0,19.0,5.0,13.0,8.0,10.0,10.0,46.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.43478260869565216,19.0,27.0,46.0,2
42,42.0,196.0,1.0,75.0,366.0,0.0,0.0,27.0,20.0,7.0,14.0,8.0,8.0,10.0,47.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.40425531914893614,20.0,27.0,47.0,2
43,43.0,194.0,5.0,73.0,360.0,0.0,0.0,27.0,22.0,6.0,10.0,6.0,12.0,15.0,49.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.3877551020408163,22.0,27.0,49.0,2
44,44.0,192.0,6.0,74.0,354.0,0.0,0.0,28.0,22.0,6.0,13.0,6.0,6.0,19.0,50.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.42,22.0,28.0,50.0,2
45,45.0,186.0,8.0,69.0,345.0,0.0,0.0,28.0,23.0,8.0,19.0,9.0,3.0,12.0,51.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.49019607843137253,23.0,28.0,51.0,2
46,46.0,182.0,4.0,67.0,343.0,0.0,0.0,30.0,24.0,7.0,18.0,2.0,10.0,17.0,54.0,0.0,0.856,0.856,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.3333333333333333,24.0,30.0,54.0,2
