,MTBF,MTTR,MDT,Aoss,Average Build Quality in-service,Average Build Quality of System,Print Capacity,Assembling Capacity,Collection Capacity,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,#Replicator,#Normal,#Assembler,#Printer
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,4332524873755.2524,0.04700432645832726,18.513728015634143,0.9999559874540811,0.678578,0.638096,54.664,30.966,131.152,55.218,39.998,93.242,96.748,0.0,45.522,30.966,54.664
std,45408351874171.81,0.008024915384125822,3.3692899946865573,0.00045477047119120233,0.021133982265839648,0.02823318986618481,6.712168831371994,4.943452178273575,15.108588116357513,6.543095612964922,10.641639205025692,15.022742812256569,15.735173573073462,0.0,7.582380958643796,4.943452178273575,6.712168831371994
min,1267.8097508106234,0.031638905085271424,8.372385620915033,0.9914240937533856,0.627,0.56,35.0,17.0,85.0,43.0,0.0,64.0,66.0,0.0,25.0,17.0,35.0
max,767943849976119.0,0.09105992929088884,28.769841269841265,0.9999999999999626,0.749,0.734,77.0,45.0,176.0,81.0,93.0,164.0,171.0,0.0,68.0,45.0,77.0
