,Configuration,Number of MC Runs,MTBF,MTTR,MDT,Aoss,Average Build Quality in-service,Average Build Quality of System,Print Capacity,Assembling Capacity,Collection Capacity,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,#Replicator,#Normal,#Assembler,#Printer
0,CHO,500,17529030.157250196,0.040382137246376806,3.513438843214724,0.10210447742886185,0.029943514224088266,0.029943514224088266,0.0,0.0,0.0,1.3537967096510926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DHO,500,18677786.53649536,0.0036370020410366414,2.2719229764373146,0.15221966172402746,0.019922415749567025,0.022716764707977122,6.427333914033483,6.427333914033483,6.427333914033483,23.592607364267497,5.668385766193826,22.723871780517396,8.528059074793415,6.427333914033483,0.0,0.0,0.0
2,HHO,500,1.336492636912662e-19,0.002554576385481912,4.0749873201075095,4.1100719293999976e-21,0.01721234771400039,0.01856296483126155,7.110779871488185,7.110779871488185,8.064096931376586,15.12828390624316,8.267720750776821,38.42970268029916,40.01915693569378,7.110779871488185,4.8967929466462685,0.0,0.0
3,CHE,500,3608563.46959465,0.041874200865321336,3.5746216358769156,0.11341911240187014,0.030596732113610824,0.030596732113610824,0.0,0.0,0.0,1.3870283686323006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DHE,500,136984947695.94615,0.05991034683229136,1.8438531629105273,0.110352925484413,0.021785920974459867,0.03283403947577261,8.133164989442363,7.702059948800049,14.028167484241548,9.875756433319957,8.43058750095285,19.530510635704914,33.216357548919106,0.0,0.0,7.702059948800049,8.133164989442363
5,HHE,500,45408351874171.81,0.008024915384125822,3.3692899946865573,0.00045477047119120233,0.021133982265839648,0.02823318986618481,6.712168831371994,4.943452178273575,15.108588116357513,6.543095612964922,10.641639205025692,15.022742812256569,15.735173573073462,0.0,7.582380958643796,4.943452178273575,6.712168831371994
