,MTBF,MTTR,MDT,Aoss,Average Build Quality in-service,Average Build Quality of System,Print Capacity,Assembling Capacity,Collection Capacity,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,#Replicator,#Normal,#Assembler,#Printer
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,8.099544358415722e-21,0.025963391781205603,37.23486160890311,2.5082458623881883e-22,0.6772959999999999,0.6612480000000001,93.956,93.956,123.58,84.734,31.752,132.194,134.512,93.956,29.624,0.0,0.0
std,1.336492636912662e-19,0.002554576385481912,4.0749873201075095,4.1100719293999976e-21,0.01721234771400039,0.01856296483126155,7.110779871488185,7.110779871488185,8.064096931376586,15.12828390624316,8.267720750776821,38.42970268029916,40.01915693569378,7.110779871488185,4.8967929466462685,0.0,0.0
min,1.7552041152959853e-84,0.019039109632886707,24.091890867752937,4.095738247837839e-86,0.629,0.617,70.0,70.0,90.0,58.0,24.0,0.0,0.0,70.0,15.0,0.0,0.0
max,2.9079700660394578e-18,0.03635941644163205,51.880519480519474,8.957344011758131e-20,0.736,0.719,121.0,121.0,147.0,155.0,78.0,248.0,248.0,121.0,45.0,0.0,0.0
